,review
66,"This is my first foray into more Audiophile oriented earphones (now IEMs), and MAN! am I Blown or What!
I feel the sound signature is on the flatter side and I love it. I'm coming from Boat/Sony/1-more universe and the vocals on these are just so prominent and clear. The bass is crisp and tight, these are not overly Bassy and it's a good thing IMO. I like the less boomy but crisper Bass of ZST X than the 'Bass Bleed' commercial earphones on Amazon. At the same time, the Bass is no less, Mind You.

... "
67,"IDk.. WRITING THIS REVIEW TO CHECK IF I GET MY 100 POINTS ON WRITING REVIEW , BUT LOOKING FORWARD TO BUY KZ DQ6 VERY SOON..."
68,"Bought these headphones a week back. After connecting the wires with the individual earpieces(L with L and R with R), no sound was coming off the right earpiece. However when i exchanged them (L with R and R with L), it worked fine. This just raises concerns about the durability of the product, as other aspects can go wrong in a month or to. Other than that, everything advertised about the device is absolutely correct. I was blown away by the balanced sound and the clarity of instruments. One should just buy it out of curiosity to listen to all your favourites songs differently."
69,"Got the cyan, mic version for 1600, this was my first IEM and when I heard it for the first time I thought I just wasted my money over some fancy candy, It was too harsh but then i realised that i was so used to the bad over boosted bass that i could not appreciate the accurate sound, after burning for 20 hours on white and pink noise I tried them again and finally got used to the signature after wome time and its totally worth the money. Don't expect the realme, boat type of sound this is different. It will take time to get adjusted but it will be worth it. This will let you hear things that you never noticed with previous earphones. Detailing and instrument separation is excellent as much as i know. And the aesthetic look 👌"
70,"I've previously used lots of ""name brand Earphones"" like Sennheiser cx213, Jbl c200si, etc and trying these with Some hi-res FLAC files was a next level experience. The clarity is immaculate. Every little detail in the track is rendered with utmost precision. And the lows are well defined and don't leak on to the mids. The highs are pleasant and not too shrill.  Instrument Separation is average but miles ahead of non enthusiast generic earphones. Its unfair to expect mind blowing spaciousness in the sub 2k price segment anyway. Overall, very satisfied with the sound quality. The in-box eartips could've been better though. Durability is yet to be seen and these kZs are best handled with care, according to reviews."
71,"V shaped sound signature makes it really fun to listen to strong bass which is well controlled. At this price point, the sound stage and separation is amazing. 
    Would definitely recommend."
72,"Thanks Headphone zone for super fast delivery!
    The sound is clean. Equipped with upgraded silver-plating wire, it provide the transparency, separation and make the sound bottom crystal clear, the voice and instruments more beautiful and beautiful. Ear-hook design keeps earphones in place and cables out of the way for unmatched, long-wearing comfort. One thing could be better if Headphone zone provides a complementary earphone case as other websites are doing the same."
73,"Mind blowing performance at this price range.. probably better or equal to some high end brands. Was little hesitant buying this chi-fi brand but this blew my socks of.. I have used this for few months now.. very comfortable on the ears.. Go for it eyes closed, you wont regret it. The bass is just perfect and can listen for long hours.. and the clarity on this is awesome.. 5 stars from me considering the price range"
74,"KZ is known for budget IEMs. This ZST x from KZ has very crips and analytically detailed decoding capability which surprised me for its price tag. I can feel the drum membrane and the guitar Strings in my ears. And hey, it's is transparent, it that's the in thing these day!!!"
75,"The earphones are definitely a value for money, they deliver everything at its best in this price segment. The sound quality, soundstaging, Bass and the instrumentals on these IEM are top notch. 
But there is a problem with the build of these earphones which is the only reason  I didn't give this a 5 star. the problem is that the cables are detachable which is not a problem itself because I have used various earphones with detachable cable, the problem is that they easily get disconnected like for eg if you put earphone in your pocket in my case they definitely will be detached, it could be a serious problem because in a hurry when you put the earphones in your pocket you may lose the buds 🥲.This could be a problem only for me maybe I may have  received a defective product. 
Otherwise the product is a beast."
76,"Damn i was skeptical at first but after getting these i am totally astonished after listening, they sound phenomenal, the bass is heavy and goes deep and crystal clear treble and not harsh it's just enough for every consumer. I am using it with a USB C to 3.5mm adapter which has built in DAC for my OnePlus 7T Pro. They are awesome.
    Thanks a lot headphone Zone for the products that surprise us"
77,"I've used them for over a month, and they're great.
Before I write my review, I wanted to say that these IEMs take time, don't conclude in one or two days. Instead, as you keep listening, the sound opens up, and then you'll like it.
Although it has a V shape sound signature, it is overall a bright, neutral-sounding IEM
The bass here is perfect; it's neither boosted nor lacking. Sub-bass is clean and easy to hear. It has a fast transient response, so kickdrums and beats sound quick and fast. However, it doesn't sound boomy like that. I'm a huge fan of the bass in these. There's a lot of detail.
The midrange here isn't very recessed, but it's not laid back either. They're clean and detailed. The vocals are forward and pleasing, so there's little sibilance, but it doesn't sound harsh at all. So female vocals sound great. Vocals that sound deep, leaning towards the mids, can sound good but lack presence and fullness. It's fun to listen to rock or instrumentals on these because they sound so airy and transparent, not compressed. In busy mixes, they also don't sound muddy, but they can sound harsh and fatiguing in those situations.
My favorite part is the treble. It does not sound smooth at all. It also has peaked in the 5k and 8k range, but it is not harsh or tiring. Thus, it makes the treble sound sparkly, tight, and exciting by adding the upper frequencies. However, it is a good length.
The soundstage and imaging are amazing. They are not just sided by the side, but also forwards and backward. Positioning is good, and imaging is accurate.
I think this is an amazing iem, I can't tell whether it will be good for bass heads, but if you want something that sounds natural and fun, these IEMs are perfect."
78,"These are great pair of budget IEMs and for people just starting their audiophile journey.
    Balanced sound signature is great as it works with most music genres so you will have a great experience with them."
79,"This is the first time that i've bought an IEM, i was really skeptical with it's country of origin and other quality issues.
With that being said, This KZ ZST X is literally the best purchase i have ever done in earphones/headphones.
It has some next level clarity, each and every single instrument can be heard and that too with quite distinction. 
It has real aggressive bass but only when needed, and as an ex bass head, my bass hunger is fully satisfied with it's bass output.
 Now coming to treble, it has that sharp ear treble which in my opinion can be too overwhelming at times, with proper EQ settings you can get what you want from these budget friendly IEMs.
So far i've noticed it's 2 shortcomings, it's vocals isn't its forte and the other i've mentioned earlier.
they have upgraded the cable from the previous ZST, this cable is nice, soft, almost tangle free, and if im not wrong it's silver cable.
I play csgo quite religiously, and it just nails the footsteps in videogames. i've never heard clarity in csgo earlier.
im planning to buy one good quality DAC AMP to take further it's sound quality and clarity.
Aryan Shah
Patna"
80,"Chi-Fi excellence reimagined.
KZ has done a great job in bringing a pair of high quality IEMs to the sub-2000 rupees category. The 2 drivers in each earphone deliver the highest of frequencies with ease and bass enthusiasts will not be disappointed as they deliver pronounced bass. Hotel California, Choo Loon by The Local Train and Bohemian Rhapsody are the go to tracks for testing and these earphones have performed very well in bringing out details in all 3 tracks. 
Posting a picture of these on social media brought curious questions to my DM asking details about the product as most people have never experienced a pair of IEMs.
Upon researching online I tuned my Galaxy S9's equaliser(setting all frequencies at -4db in Custom profile and Dolby Atmos off) allowing the inbuilt DAC to bring out more details as I could hear electric guitars and cymbals more pronounced than before.
The in-line microphone is quite clear and loud.
Shoutout to Headphone Zone's prompt delivery in the current state-oriented lockdown as I received the earphones in 3 days through Bluedart. Every package comes with a set of multiple genre suggested playlist cards which you can scan on the Spotify app. 
Issue: The speaker's outlet which sits in your ear canal is broader than your normal pair you earphones and an hour of listening develops ear fatigue thus making it uneasy for you. The factory eartips don't do a good job as they are thin which is why I have ordered a set of KZ foam eartips from Amazon. Foam eartips solve the problem of ear fatigue across all earphone/headphone type, ALWAYS!
I am a proud and happy owner of my first set of IEMs. Detailed music from now on."
81,"The sound is pretty good and clear,  well-balanced overall. The cable on the left ear keeps coming out of the earpiece repeatedly however. Its a bit a hassle since I can very well lose them in a public place. This only seems to happen when I am taking them out though, they are pretty secure as long I am wearing them."
82,"I bought this earphone based on online reviews. But I didn't like the sound. There's no bass, only treble. Sound quality is like cheap local earphone. Waste of money................"
83,"After 4 months of digging ,finally made a decision to purchase KZ. Was earlier using JBL Live 100.
    Very happy with the decision
    Did a voracious research and finally figured out these.
    The sound clarity is of Audiophile grade.
    Build quality is mind-blowing .
    Very comfortable fit 
    Microphone is also good.
    Thanks KZ and Headphone Zone, guess you made a loyal customer to your products.

... "
84,"I've been using this earphone for about a 6 months I feel that its nothing short of excellent in this price range.
I have used many other headphones in this price range including some popular ones like RHA MA 390 and I feel that KZ ZST X  is the better option.
The build quality is amazing . The earbuds can initially feel a little large but once you get used to it, the fit becomes perfect and does not hurt ears.
The cable quality is good, (but rough handlers like me have to little careful). The build quality is miles better than RHA MA 390 . Cables do get tangled but not that much.
When it comes to sound quality
1. This earphone is amazing for guitars or acoustic songs
2. Bass is not like what you get to hear on the Sony ones but its apt - nothing more nothing less . You can always tweak with equalizers to get desired results. However I always stick to the default sound signature of the earphone and it never disappoints. I always miss the Sony's when I'm in the mood for listening bass heavy songs
3. The sound is not up to the mark for unplugged songs or songs with heavy piano and string instruments, somewhere it lacks that crisp and it feels little flat to hear.  Still it's wayyy better than most of the earphones in this price range. People who listen to old songs, you will have a great time with this.
Since, a lot of smartphones are not offering headphone jack we have to use a converter. I use a local converter cable for my oneplus 8T. Sound quality does dip but it does sound good for me, way better than using wireless ones in the same price range. How ever some phones especially realme pnes (with headphone jack) and Laptops offer rich music experience and quality and it sounds amazing.
However for even better results, use a good quality converter cable for your phones.
To sum it up, I do not regret buying this earphone even in this booming wireless earbuds era and it's a good buy. If I have to rate it I would give a 9 on 10.
I thank Headphone zone for bringing this product to India at a great price with an amazing service and timely delivery."
85,"First of all, it’s just not about the headphones, it’s also about the device that you use to play music. I used three common devices to test these headphones- a Redmi K20 Pro smartphone, a Samsung Galaxy tablet with Dolby Atmos and a MacBook Air. 
Though the Redmi K20 Pro smartphone boasts of a built-in DAC, I played my music using a V-shaped equalizer(which is my preference) but it seemed to produce a dampness in the output. Using these with a MacBook Air produce a much better sound. The highs, mids and lows sounded clear and audio quality seemed richer as compared to the quality of music I experienced on my smartphone. The reverberations produced are beautiful. However, I was completely blown away when I used the headphones on a Samsung Galaxy tab using the built-in Dolby Atmos profile with no separate equalizer. I heard sounds in my songs which I hadn’t heard before, like the orchestra opened up in my ears(if you listen to instrumentals and EDM music). 
Build quality- Pretty strong. The wires are well-designed but may get tangled if rolled. The transparent design of the encasing looks awesome. The diaphragm seems heavy but thanks to the curvy design of the wires near them, they never fall out of ears. 
 I have tried Sennheiser CX180, SoundMagic ES series, JBL, Skullcandy, Boat but KZ ZST X have become my new favorite now.
For Headphonezone Team- Kudos to your excellent packaging. Keep up the good work!"
86,"What an output music.....either paired with Smartphone/ Feature phone/ Music Player...Exceptional
Also the way it sits in ear is very comfortable...did not feel the fatigue of hearing music even after 2-3 hours of continuous listening.
Highly recommend this product due to its sound output and prompt delivery by HZ........"
87,"Very good sound stage and detail. Go for it , it's better than most of those branded earphone out there which costs around 5000Rs to 6000Rs"
88,"Disclaimer – the opinion is entirely mine and subjective. This doesn’t mean that other brands are not good.
I was trying to find a good pair of IEM's for my ipod shuffle, and recently I got to know about these pairs in a headphonezone’s youtube video. then i started looking at other reviews as well and i was pretty much convinced to buy them because i found not a single negative review about them, after a lot of thinking and decided to buy them and man they exceeded my expectations. They worth even 3x the money. I am no audiophile but previously i have owned and used a lot of earphone some of which were. sony xb55ap( damn good for bass heads), soundmagic es18-pl11-pl21-e10c, creative ep630( the first branded pair I bought), jbl t120, sennheiser cx180-275( great but highs not clear enough), some of the skullcandies(didnt liked them at all, overrated) some of the boat( overattedddddd), sony xb450, shure se215, RHA MA650(My favourites) wired and wireless, Audio technica M50X Wired and wireless both( The best ever), Vmoda crossfade wireless (hard hitting and versatile), Xiaomi dual drive pro earphones, realme buds. MI sports Bluetooth earphnes, some samsung provided AKG ones and a lot more as well. The main motive behind me listing them here is that i can write a detailed review and you can get an idea about them. Now here comes the review.
Style and build (Rating – 10 out of 10)  – They are second to none in the style department, the silver twisted cable looks awesome, dual colour looks damn great, unusual design but that makes it stand out from the crowed. They are big but they are very comfortable in wearing. The main earphone housing, is made of plastic and feels quite strong, but still I would recommend that don’t toss them around here and there, just use with care. Cable is detachable, this is amazing at this price range. So kudos to KZ in this department. 
Volume level (Rating – 10 out of 10) – These are the loudest pair of all the earphones I have ever tried. That is may be because the impedance is only 12ohms. They are really loud and you cant listen them to even 75% volume let alone full, I used them at 50% of my ipod shuffle volume, and when I say they are loud, believe me they are capable of going to the extremes in volume levels, that will be good when you use a device which has low volume. 
Soundstage ( rating – 7 out of 10)- I cant even explain what kind of soundstage they have. at this price range, you cannot even expect half of what they actually deliver, there is enough depth in the soundstage they feel airy and wide, though not as wide as RHA MA650 wired, but I actually like the depth of KZ. Instrument separation is way better than some of the best earphones like RHA MA650 wired, shure SE215. they are very detailed, but because of the detailing, some people who have never used a really good and expensive pair of IEM, may find them uncomfortable because they have kind of aggressive tuning, which is by no means comfortable for people who are only used to V shape sound signature. 
Bass (Rating – 8 out of 10) – here more rating doesn’t mean more bass, it’s the quality and the feel of the bass. Bass is tight and punchy, yes it is a bit emphasized in my opinion but doesn’t hinders the other frequencies. They are, by no means at Sony xb55ap level, but I didn’t liked the bass on them because at times it was way overpowering the other frequencies but it is not the case with ZSTx. You will definitely enjoy the bass. 
Vocals ( Rating – 6 out of 10) – I have rated them only 6, it is by no means bad at all, don’t consider that the vocals are not clean or bad, it’s just that vocals are really clean, they have a little bit of weightage to them which is good, but they are a bit forward and sounding very near to my ear, I like a little bit of distance in vocals and they are a little upfront sounding for me. This doesn’t mean it is bad, they are very clear and clean.
Treble ( Rating 7 out of 10 ) – with low rating again I don’t mean that it is bad… Highs and treble is a little bit on the recessed side, that just what I think, by no means they lack the highs, they are definitely there and I can say even better than Shure SE215 but not as good as RHA MA650. But I think they are very clean because of Balanced armature. Not sibilant at all. And its enjoyable. But you can feel that they are a bit recessed while listening to Rock, alternative.. 
Overall rating ( 9 out of 10) – At this price point, I don’t have even a single complaint, they look good, they are built good. They sound extraordinarily awesome way beyond my expectation; they are damn good when it comes to the sound. Perfect for almost every kind of genre.  If you ask for my advise, I would suggest you to buy the with the closed eyes. They have just killed the competition in this price range, I just couldn’t think of any pair under 5000 in wired category which can beat them. just buy them they will exceed your expectations too."
89,Excellent sound. I had a fiio triple driver IEM worth 8k. These sound better than that! But they have cut corners in other segments like the wire is very cheap and it pushes the volume to max during a call this usually happens due to bad build in the connector. So be prepared to use some other cable.
90,"I have not yet expected this much pristeen and sufficient bass in my budget under 2k, I really got fully satisfied by this earphones. These are very comfortable for daily use and we can carry anywhere, the built quality is superb with light weight.
I am not an audiophile but I am a music lover, these earphones are enough for the biginers, some people said in review that bass is not sufficient but it's very balanced and presteen, every instrument we can hear clearly, I used many other brands like Senneheiser, Sony, Sound magic, Bayer dynamic and RHA but in this budget these are highly recommendable, heart fully you can go for it, it doesn't disappoint you, you can enjoy high quality loud audio.
I purchased many earphones from headphone zone, they are really doing a great service to the customer, I claimed my warranty for RHA S500 after using two years, I got new one and they did great service. Thank to the headphone zone team, you are very trustful. Coming to the delivery, you are excellent more than Amazon prime delivery, I got it through Bluedart within 48 hours, it's really surprising me the way you are serving to the customer with as and when updates. The parking is also superb.
I love music and trust only headphone zone because they sell only genuine products and the headphone Guru's are working with honesty towards customer interests when they are confused to purchase headphones.they suggest good one according to our budget and interest.
Thank you 🙏"
91,"Was looking for something that isn't as bass heavy as generic headphones. For the price, a really great pair of headphones, right from the looks, to the sound quality. The braided cable feels very robust and of a very good quality.
The only con I'd say for these is the way you put on the headphones. Even after over a month of use, it still takes time to put these on.
Barring that, a really great pair of headphones."
92,KZ - ZST
93,"One line - Buy this while the stocks last.
Detailed review
This is Hi-fi with great mobility, think a headphone like a dt770 80Ω you need an amp to get some juice out of that headphones, but what the ZST can do that the 770 can't is it can be played by a measly smartphone, laptop and still give you output that is close to 75% of what the 770 can, First 2 days didn't like how they sound bass was too much and in my first listen treble gave me a mild headache, It's all gone now ! .The ZST has really good clarity, 
1- Bass is good enough that it can be felt and not muddy either but not controlled at certain frequencies it does over power but that is not all the time.
2 - Mids are there but not the very best but you won't complain either it's flat and life like not larger than life. 
3 - Highs are amazing piano, cymbal crash, string instruments all sound fantastic. 
My thoughts
You would've never heard sounds like these before if come from a budget oriented headphone, Sure KZ struggles in male voices a little bit, female vocals are better, I have used it for a week now, from my testing i have been hearing rock, EDM, Jazz, Blues , some classical, Bollywood, Kollywood I can safely say, this has been an eye opener and an amazing experience, keeping everything aside you needn't cross 50% of your volume in your phone if you sit in your room with the fan on !. 
It has made me like blues more, classical a little bit more, sound stage in some recording feels really wide it gets out of the ear canal and plays.
For this price I don't know if you can find a product like this, easy to drive and this good sounding.
Look at the pictures the candy variant looks amazing, atleast to me, don't know how long the cable will last, but it's not cheap either for the asking price you can't go wrong with this pair of IEMs, sound leakage is also well contained at 70% volume nothing leaks (good for the office). 
It is also source centric, 128kbs sounds horrible and you can tell it immediately, Flac, Cd mp3, m4a  good.
Still can't believe a product like this exsits at this price bracket , do try this.
Thank you Headphone Zone for importing this wonderful piece of equipment."
94,Fair for the price range
95,"I found the earphones value for money. Have been using it regularly for almost 9 months now. Listen to various genres from hard rock to classical music and it has never disappointed me. Sound can be a little bit sharp on high volume especially for high treble and can be irritating. But that's perhaps the only weakness of this earphone. Mic is an additional advantage. 
They're relatively tangle free and the wire is durable too. The transparent casing of the earphones is eye catching and so is the audio-monitor style. Comfortable for long hours of usage without any ear pain. Does not cancel out ambient noise, despite that it's great. Can be used during commute, workouts, video calls or just listening to music."
96,If you are an audiophile with less than 2k budget close your eyes and go for this.
97,nice
98,"Excellent Quality in little range, suggested to buy"
99,Withing one month mere 1500rs ke headphone damage ho gaye .. And according Worrenty company ko headphone karna tha.. But company ne replace kr ke nahi diya... 😒
100,"I have got KZ ZSTX and on first listening to music on my phone (without any additional DAC), the depth and surround effect of the sounds captured my attention. 
Each Instruments, background voices, leading voice.etc are properly staged and separated. Even on low volumes you can hear each instruments as well as background voices.
It feels like you have a 5.1 Surround speakers set up arround you, but much better.
Bass is not boosted, but gives adequate deep bass (that vibrations), which can be easily boosted with an equalizer.
As opposed to some comments in youtibe videos, where they complain that treble is ""harsh"", I would say that KZ might have corrected it, because the treble feels smooth and doesn't sound harsh. Clarity is amazing and doesn't hurt my ears.
So far I'm still testing the IEM. For better quality, I would recommend to use FLAC music or 160+kbps opus or 320kbps MP3 or 256kbps AAC.
Some high quality (paid version) of online music streaming service are good, but YouTube music feels good even if not premium."
101,great IEMs for literally everything
102,After years of using the same type of headphones that would break off or get damaged within some months of use i stumbled on headphone zone on YouTube and decided to buy these headphones they are superb
103,"If this is your first time buying an iem, dont hesitate just buy it. This one has that typical v-shaped sound like every other entry level iems but tuned in a good way. The sound is surprisingly somewhat balanced with no overpowered bass & harsh treble like other KZs. Vocals are also quiet good for the price range. These iems have really enjoyable consumer grade sound signature suitable for hearing all kinds of music. These iems are not that much heavy in weight and quiet comfortable for the price. The eartips are not bad but upgrading with a better eartips will greatly improve sound quality and comfort. Playing with different types of eartips will show you a huge difference in sound signature. The cable quality is also good. Overall verdict: Dont hesitate, Just start your iem journey here."
104,This product is worth buying
105,"Pros:
    -Durable design
    -Great sound
Cons:
    -Slightly bulky
    -silver plated cable gets detached easily"
106,"These are so lightweight, you can't feel that you're carrying them. Very very comfortable..and the sound is perfect! You'll discover parts and sounds in a song you didn't even know existed. Go for them..best IEMs under budget.
    Just know that kZ has gone towards c type cables for IEMs..so if this cable gets damaged..replacement wouldn't be possible (or rather very difficult)."
107,"I'm not a serious audiophile, I'm a what you call an average audiophile who likes his music clean and rich. First things first, they come out of the box and you listen to them and aren't put into an awe, rather you feel a weird sense of the plain in which these earphones play. If you connected them to your average phone, it will pick up the voltage diffrence on it and that's just crazy! These beautiful sound producing devices will ask you to up your game to a DAC for starters, and you know they are built really well. I connected them to my 18 year old iPod Nano and let me tell you with a little bit of equalising,you can't get any better at this or even double it's price range.
I'm looking forward to get a DAC now, but for now my iPod holds my back. All in all these earphones are nothing short of a great catch 4.43/5.0"
108,"Using it since last 2 years .
    Ya ...the right ear iem  is no longer working .
    But it worked out a lot as my first IEM.
    Be Doubtless ,switch to IEMs & enjoy music ."
109,My first purchase from headphone zone. I was skeptical about these IEMs since I only know about the usual brands. Decided to buy these and after 1.5 years of usage this is the best IEMs I have used. The sound is very clear and we can hear all the tiny details of instruments. Bass is not that punchy but it is enough for me. Overall satisfied with the product
110,"It is only for Music lovers. The music is soft and smooth. Bass lovers don't buy this, it lacks bass whenever necessary. Apart from that, you will love its clarity. You can surely feel the difference from other earphones for sure."
111,"I had a gig on Saturday and needed six in-ears for the band - Raghav and his team at the Andheri office location hooked me up with these pieces. Great buy, saved the day for our show. Many thanks, Raghav - you run a great ship there."
112,"Great fit, the cable is high quality and great for casual listening for genres like EDM, pop and trap music"
113,My friend Recommend it if its worth please let me know
114,"This was the first product i ordered from headphone zone as a birthday present for my sibling,but i received a defective one,very dissapointed"
115,"It was my first IEM, and it was amazing."
116,It's been an Awesome experience with this IEM... Sound quality is very fine...
117,"This was my first ever IEM and dude I am blown away with these IEMs .Since i was a person who used very normal/cheap earphones(Sennheiser cx180) earlier ,These KZs were awesome for me.Looking forward to more IEMs in my forward journey"
118,One of the best IEMs in this budget.
119,The audio quality is best for a non bass head.
120,this was my first experience with chinese hi-fi and it was a very pleasant surprise. first of all the audio quality was really good. i was hearing stuff i had never heard before in songs i had been listening for years. i was worried about quality issues but these iems feel sturdy enough to last longer than i will. plus the green ones i bought look really good. and all of that for 1500. has been totally worth it.
121,First time purchase  ZST-X such a awesome IEM its looks and feels like an art work for beginners you gonna get mind blown 
122,"The best and second to none earphone I ever purchased. My first listen even without its burn in blowed up my mind.
    The comfort is great ase well.
Cons- Though I was hoping for some better quality eartips."
123,This is my first purchase in Headphone Zone. I bought it less than a week ago. Didn't have much expectations on it because of the price. But they're really great in that price range with good highs and mids. I paired it with A&K Bluetooth dac (borrowed from my uncle) with Nothing phone and it sounded great. It definitely has better detail than my galaxy buds pro. Also used it with my Sony Walkman which sounded great too. Only thing I didn't like about it is it's tips. I probably need to buy a good dac and foam tips.
124,kz zst x
125,You wont find a better sounding earphones at this price point period.
126,This was my first experience with an IEM and it's betten than I expected. Worth for this price.
127,The design is perfect it's light weight and thank you for the playlists
128,I've been daily driving them for almost 4 months now and i have to say they are the best sounding earphones I've ever used but lately the adhesive sealing from the case starts to ooze out and im fearing that one day it'll break open and i wont be able to fix it. but it doesn't seem to affect audio quality tho. im not sure if other users are facing this issue or it only happens to this particular one that i bought. that being said its still one of my favourite earphone
129,The sound quality is quite crispy and less on the bass end. Build quality is good but seems to be bulky. This earphone might be uncomfortable for use to some users. Overall a good one.
130,It fits perfectly in my ears.
131,I have been introduced to Headphone Zone by one of my Facebook homie as he recommended headphone zone for the better audio and music experience. As he suggested I've got this KZ-ZST X few months back. This is one the best ever earphone I've ever used since I started listening to music. Thanks #Headphone_Zone <3
132,It is a very good beginner's IEM. Sound quality is awesome and base is also good.
133,Buy these without a second thought if you want to get into IEMs. These sound incredible for their price!
134,"For the beginners, these are the best options for this price range."
135,"I have been using them for now over a year and a half and i have to say they have come out beautifully. The sound quality is amazing, the wrapping is amazing. The only one complaint would be that after 9 or 10 months of use it's wire started to malfunction (most probably a tear due to my bad use) but it can be also replaced for a cheaper rate. I have dropped them many times but they have been intact all the same. I have been very thankful for this one."
136,Must try
137,It's beautiful for beginners
138,"This is my First iem, it is Damn good for beginners it's fits perfectly the noise Build quality is good,cable is strong overall perfect to start with this"
139,okok
140,"So, I got these ones today. I tested it and can say these sound amazing for the price. I sound is so good that it can compete with major earphones. But sadly it's not for me. Because of the fit in ear. These earbuds sucks. After 5 minutes my ear started to hurt. After sometimes I got a headache. I've other buds types earphone  but never had any issues. But these one doesn't work for me. I tried changing provided different sizes but it doesn't seems to solve the problem. I don't know what to do. May be return it. Let's see.

... "
141,"Never expected this to be so good in terms of design, comfort and most important of all, SOUND QUALITY. Beats out any headphone I’ve used in the past, including many of major league brands like Sony, beats, etc. It’s absolutely worth the money!"
142,Literally I tried many iems in between 2K to 6K but i really love these product in these 1500 rupees segment these are the top iems in the sound quality base treble Little bit quite low but not a problem really everyone satisfies with these item really amazing you know
143,"the base is really well defined but lacks the fullerness and warmer tone in the high notes and mid vocals.
    I use AKG flat sound signature headphones and maybe I am used to those but I can always feel a major difference between the twos for the mids and highs.
    But for the price point , cant say much , Definetly worth if you are on a tight budget and like a well defined bassline instead of thumpy and overpowering base of the majority of the devices in market."
144,"For a kind of money they are asking, it a great deal.These have a ""V"" shaped sound signature and thus are good for listening to instrumentals.The Mids are lacking,but again considering the price there is nothing to complain in the Sound department.The only pain point I have with these IEM's that the flashy colours of the earpeice are not for my taste (personal opinion)"
145,If you want a budget earphones for a long term with best specs go for it!!!
146,"i didn't use iems before this.this is my first iem from headphone zone and i am really really shocked with the sound of kz zst x.these are really great,
the sound is really really loud,
the clarity of vocals is amazing,and bass
i cant cant even write down how much i am impressed,these are the best iems under the 1500.
and,
the service of headphone zone is also appreciatable.they are doing their job with honesty.
i like both,the iems and the service....."
147,"These pair of IEMs are great to get you started on the audiophile journey.
    It's definitely a value-for-money purchase and has opened up a world of sounds to listen to."
148,"It's good.
Only thing i didn't like were the eartips.Would recommend buying foam eartips along with these(if these came with it would have been great).
Watched a movie wearing these,had no discomfort.
Personally i choose these over TWS at this price.And is considering to upgrade to Bluetooth if needed in future with the Bluetooth module which is also available on this site itself...
My friend after trying these on, is also going to order one of these for himself..."
149,"I'm not a audiophile, my brother suggested me to try these. So i bought these and to my surprise the music experience I got is mind blowing😍, with these I can listen to each instrument very clearly and it feels like surrounded by whole orchestra. Now I love Ilayaraja and A.R. Rahman music 1000times more😇
Earpieces are a bit bigger so can't wear it during bed time if you sleep on one side...but for casual listening these are great choice. These earphones have mic so picking up calls is possible. Also these earpieces have removable cable so you can replace if cable damaged or cut but i bet that won't happen easily. Build quality is great.
For the price you are paying these are excellent...recommended 👍"
150,"Amazing sound stage for the price.
    The cables get tangled easy and are too long. Not ideal for carrying inside pocket and daily use."
151,Superb eraphone IEM in this range i used nearly 40 pairs of earphones from 100 to 11k including iPhone earphone but at this price range it's its equivalent to iPhone range especially when you use it in DAC or PC or high end phone you will unlock it's full potential.......it's sand that AZ09pro Bluetooth kit is not available for this model in India pls arrange it
152,One of the best and affordable iem. I loved them and also the delivery time was quick by headphone zone
153,Don't buy this product buds are good but only one mistake is getting wrong cable of this product   so different blw website cable and my delivery cable so much different im very disappointed on my first order in this website
154,"This was my first IEM ever, pretty impressed by it as a beginner. And even more impressed as a lifelong music fan.
It's pretty comfortable and easy on the ears, I tried these on every music player and tracks with varying quality. It made them all sound good.
Even further impressed by Headphonezone's customer service and range of products and their helpful youtube channel to guide you better.
An advice to anyone buying anything related to audio, give first preference to this site over any other."
155,"What a crazy headphones....... Low, mid and highs are balanced so well.....loved it so much.."
156,Just another good KZ IEM
157,"So far the reviews are very good, my friend bought one of these last week and I had to get them when I used them"
158,This is my first time buying IEMs and i gotta say im not disappointed.
159,its my first iem from headphonezone. they are great works well. you only need better dac inbuilt in your phone or portable ones to get best out of them. even they look weird they are very ergonomic. My bullets wireless cause a lot of pain after some time but kz are better in this. they are just worthy candidate in this segment. also delivery was very fast...
160,"The glue between the top part (the part on which the brand name is written) and the bottom part (the rest of the IEM) is coming off. I have to clean it up every week. I am not sure how long it's gonna last before the plastic parts separate from each other and expose the inner hardware to damage. I have never experienced such thing before. 'Chi-Fi' excellence reinforcing the China build quality 'stereotype'?
Anyways, the sound is amazing. Base doesn't overpower the other areas. Honestly impressed with everything except the glue thing."
161,The Bass quality is not good and for vocal sound it perfect but it is not for Punjabi music where we would like to enjoy the high bass and sound music. I was expecting a case where they told to less Rs 250 if will not order box and surprised to see box here refered the packing box which may cost 50 rs max.
162,Excellent
163,"I didn't have any experience with IEMs but wanted to get started on my audiophile journey.
So I jumped on a sale offer on these pair and let me tell you i wasnt disappointed.
The sound is excellent, unlike any other pair of earphones i have heard before. Every detail is crisp and its very easy to distinguish different instruments.
The bass is ever present without cutting into other frequencies thanks to dual driver design.
The build quality is something which could have been better. It feels fragile and the wire connections seem to have a lot of wiggle room.
But overall i would say an excellent product"
